Name,Gender,Height,Extracurricular Count,Hall,Wing,Friends
37,Female,"5' 5""",6,1501,1501C,
4,Female,"5' 5""",3,1506,1506B,"22,44,52,73"
68,Male,"6' 1""",3,1504,1504B,
62,Male,5'10,5,1505,1505D,
44,Female,"5'4""",4,1502,1502C,4
41,Male,6’ 2,3,1504,1504D,"19,82"
40,Female,"5'3""",7,1506,1506C,"2,53,73,47,35,13"
61,Female,"5'5""",3,1501,1501C,"62,37"
49,Female,"5' 5""",8,1503,1503C,"92,56,68,10,28"
24,Male,5’11”,10,1505,1505C,"36,10,48,7,70,69"
88,Female,"5' 3""",,1502,1502A,"20,87,58,29,27,52,12"
1,Female,5’6”,4,1501,1501A,"95,15"
18,Female,5'6'',4,1503,1503C,39
32,Female,"5' 6""",4,1503,1503C,"48,7,70,10"
12,Male,5”11,2,1505,1505A,65
46,Male,"5' 8""",5,1504,1504B,"64,50,23,82,34,66"
6,Female,"5' 3""",4,1503,1503A,"80,74,66,93,64,86,23,34,67,79,21,78"
27,Female,"5' 4""",7,1502,1502D,"2,53,29,88,39"
2,Female,5',3,1506,1506C,"27,40,53,91"
13,Female,"5' 6""",8,1506,1506C,
92,Female,"4' 11""",3,1503,1503C,"56,10,68,28,38"
14,Male,5' 7'',3,1507,1507C,"55,84,16,63,60,82,5,75"
23,Male,"5' 10""",4,1504,1504A,"50,64,46,82,86,34,6,8,80"
22,Female,"5' 2""",9,1503,1503A,"96,94,4,53,18,73"
17,Female,5'4,10,1501,1501C,"52,20,90,31,51,87,85,19"
71,Female,5',3,1501,1501C,"43,59,68"
8,Female,5’3,7,1502,1502B,"54,72,58,21,79,23"
76,Male,"5' 11""",9,1507,1507D,"10,48"
47,Female,5’6.75”,6,1506,1506B,"35,21,40,96,73,1,30,15,53,13"
93,Female,5’4’’,6,1503,1503A,"74,80,6,66"
96,Female,"5' 3""",7,1503,1503A,"94,22,53,47,21,13"
80,Female,5’ 4”,5,1503,1503A,"6,64,66,86,74,93,50,23,82,67"
77,Male,5’ 11”,10,1504,1504D,"42,25,50,89,34"
67,Female,5’ 3”,8,1503,1503B,"6,80,79,89,74,21"
70,Male,5' 7'',10,1505,1505D,"7,36,48,10,24,54,31"
39,Female,"5'4.5""",5,1503,1503C,"28,27,18"
25,Male,"5'9""",8,1504,1504C,"77,42,3,46,60,63,34,82,86"
11,Female,"5'7""",5,1501,1501C,"90,51"
31,Male,5'9,4,1504,1504C,3
72,Female,5' 4'',7,1502,1502B,"79,54,8,85,47"
34,Male,"5' 9""",8,1504,1504A,"64,82,50,23,46,86,9,10,63,60,72,6,89,79,93"
98,Male,"5' 4""",4,1502,1502C,"61,62"
42,Male,"5'6""",6,1504,1504D,"77,86,28,8,89,25"
30,Female,"5' 7""",6,1506,1506B,15
74,Female,5'7,2,1503,1503A,"66,6,93,80,67"
3,Male,"6' 2""",10,1504,1504C,
54,Female,"5'7""",4,1502,1502B,"8,58,72"
69,Male,"5' 6""",2,1505,1505B,"36,10,24,48,70"
66,Female,"5' 5""",4,1503,1503A,"80,6,74,93,46"
64,Male,"5' 6""",3,1504,1504A,"80,86,50,23,46,82,34,66,6"
38,Male,5'11,2,1507,1507A,"15,56,68,9,92"
59,Female,"5' 3""",3,1501,1501A,"71,43"
73,Female,"5'2""",8,1506,1506A,"4,45,27,47,40,2,21,53,35,22,44,1"
78,Female,"5'2""",6,1506,1506D,"26,21,83,33,87,85,51,19,75,52"
21,Female,5' 5'',9,1506,1506C,"57,35,81,67,78"
79,Female,"5' 3""",9,1503,1503B,"89,67,72,46"
63,Male,"6"" 1""",3,1507,1507C,"60,14,5,84,16,55"
89,Female,"5' 8.8""",5,1503,1503B,"79,67,42,77,93,74,12,57"
5,Male,"5'2""",2,1504,1504D,"63,60,55"
55,Male,5’ 7’’,5,1507,1507C,"14,84,60,5,16,63"
43,Female,"5'3""",4,1501,1501C,"68,71,59,28,97"
7,Male,"5' 7""",10,1505,1505C,"70,10,48,36,24"
36,Male,"6' 1""",5,1505,1505C,"24,10,48,7,69"
84,Male,"5' 9""",5,1507,1507C,"75,14,33,60,63,55,16,5,50,82"
48,Male,"5' 10""",4,1505,1505C,"32,10,70,36,24,69,54,67,92"
10,Male,5' 7.5'',5,1505,1505C,"28,36,24,48,92,69"
16,Male,"5' 10""",3,1507,1507C,"60,63,84,14,55,74"
57,Female,4'11,5,1506,1506C,"21,35,81,89"
81,Female,"5' 3""",5,1506,1506C,"21,57,35,93,13"
45,Female,"5' 6""",6,1506,1506A,"63,60,19,75,87,52"
94,Female,"5' 9""",5,1503,1503A,"96,22,59"
91,Female,5’ 4”,10,1502,1502A,"99,58,88,29"
95,Male,5' 9'',7,1501,1501D,"97,1,59,9,76,27,42,62"
58,Female,5’ 4”,,1502,1502A,
99,Female,"5'3""""",9,1502,1502A,
65,Male,6’0”,3,1505,1505A,12
90,Female,5’7.5”,5,1501,1501C,"11,12"
87,Female,5’2,10,1506,1506A,"52,75,19,51,83,88,85,26,78,33"
97,Male,6’1”,4,1501,1501D,"43,71,95,68"
15,Female,"5' 3 1/2 """,8,1506,1506B,"30,1,38"
53,Female,5' 3'',3,1506,1506C,"2,40,27,47,96,35"
86,Male,"5' 8""",4,1504,1504C,"64,80,84,16,10,74,57,31,42"
9,Male,6’0”,5,1505,1505A,24
29,Female,"5' 7""",6,1502,1502D,"27,29,44"
60,Male,5'8'',4,1507,1507C,"63,14,5,16,84,55,82,50"
28,Male,"5'9""",3,1504,1504D,"10,39,42,43"
19,Female,5' 1'',3,1506,1506A,"75,52,87,83,51,26,78,33,85,41"
26,Female,5'3,5,1506,1506D,"87,83,51,85,33,75,78,19,52,21,41"
52,Female,5’8,4,1506,1506B,"4,87,75,26,33,85,51,33,75,19,78,83,88,20"
83,Female,5' 1'',6,1506,1506D,"82,85,33,87,51,75,19,26,78,52,14"
82,Male,"6' 0""",5,1504,1504A,"75,83,33,74,64,50,23"
85,Female,"4' 11""",4,1506,1506A,"33,83,51,87,75,19,26,78,52,55,50"
33,Female,5' 6'',6,1506,1506D,"83,75,51,85,19,78,87,50,19"
56,Female,5' 3'',5,1503,1503C,"92,38,68,10,28,20"
50,Male,5' 11'',10,1504,1504A,"80,66,82,64,23,46,34,86,75,85,33,84,5,60,63,55,14,41"
75,Female,5'6'',5,1506,1506A,"84,19,82,83,14,52,31,87,51"
51,Female,"5' 1.5""",5,1506,1506A,"85,87,83,78,11,17"
20,Female,5’ 4”,5,1501,1501C,88
35,Female,5' 1'',7,1506,1506C,"81,57,21"
